species_group,family,genus,species,b0,b1,b2
,Pinaceae,Pinus,pinaster,0.225,0.851,0.078
,Pinaceae,Pinus,pinea,0.277,0.859,0.043
,Pinaceae,Pinus,halepensis,0.421,0.731,0.052
,Pinaceae,Pinus,sylvestris,0.527,0.65,0.047
Other conifers,,,,0.416,0.705,0.035
,Mirtaceae,Eucalyptus,,0.256,0.843,0.078
,Fagaceae,Quercus,suber,0.362,0.758,0.088
,Fagaceae,Quercus,ilex,0.579,0.64,0.078
,Fagaceae,Quercus,pyrenaica,0.608,0.638,0.039
Other oaks,Fagaceae,Quercus,,0.679,0.634,0.036
,Fagaceae,Castanea,sativa,1.236,0.455,0.06
Other broadleaves,,,,0.585,0.69,0.051
