model,family,genus,species,species_group,species_zone,b_1,b_2,b_3,b_4
CR1,Cupressaceae,Sequoia,sempervirens,,North California Coast,-0.0161,1.096,,
KP1,Cupressaceae,Sequoia,sempervirens,,North California Coast,1.089,-0.2131,203.4,
KP1,Pinaceae,Pseudotsuga,menziesii,,North California Coast,1.221,-0.8755,402.8,
SH1,Pinaceae,Pseudotsuga,menziesii,,North California Coast,-9.033,-0.4802,,
CR1,Pinaceae,Abies,grandis,,North California Coast,-0.03357,1.658,,
CR2,Pinaceae,Pseudotsuga,menziesii,,Main Mixed Conifer,-0.01564,-6.26,38.98,
CR2,Pinaceae,Pinus,ponderosa,,Main Mixed Conifer,-0.01441,-5.777,36.85,
CR2,Pinaceae,Pinus,lambertiana,,Main Mixed Conifer,-0.01862,-9.153,54.31,
CR2,Pinaceae,Pseudotsuga,menziesii,MC3,Main Mixed Conifer,-0.01524,-4.191,28.35,
CR2,Pinaceae,Pinus,ponderosa,MC3,Main Mixed Conifer,-0.01524,-4.191,28.35,
CR2,Pinaceae,Pinus,lambertiana,MC3,Main Mixed Conifer,-0.01524,-4.191,28.35,
CR2,Pinaceae,Pseudotsuga,menziesii,MC3,McCloud Area,-0.01267,-10.56,64.26,
CR2,Pinaceae,Pinus,ponderosa,MC3,McCloud Area,-0.01267,-10.56,64.26,
CR2,Pinaceae,Pinus,lambertiana,MC3,McCloud Area,-0.01267,-10.56,64.26,
CR2,Pinaceae,Pseudotsuga,menziesii,MC3,Other Mixed Conifer,-0.01684,-1.255,12.53,
CR2,Pinaceae,Pinus,ponderosa,MC3,Other Mixed Conifer,-0.01684,-1.255,12.53,
CR2,Pinaceae,Pinus,lambertiana,MC3,Other Mixed Conifer,-0.01684,-1.255,12.53,
CR2,Pinaceae,Abies,concolor,,,-0.02834,-4.336,31.51,
KP1,Pinaceae,Abies,magnifica,,,1.741,-110.3,20100,
LG1,Cupressaceae,Calocedrus,decurrens,,,234.1,3.923,-1.237,
SH2,Pinaceae,Pinus,jeffreyi,,,0.3879,-1171,194.4,-0.3486
SH2,Pinaceae,Pinus,contorta,,,0.3879,-1171,194.4,-0.3486
CR2,Pinaceae,Pinus,contorta,,,-0.01684,-1.255,12.53,
SH1,Betulaceae,Alnus,rubra,,,-7.236,-0.7772,,
SH1,Ericaceae,Arbutus,menziesii,,,-5.3508,-0.3883,,
CR1,Fagaceae,Notholithocarpus,densiflorus,,,-0.007455,0.7743,,
LG1,Fagaceae,Quercus,kelloggii,,,233.4,4.984,-1.016,
SH1,Fagaceae,Quercus,agrifolia,,,-6.455,-0.3725,,
SH1,Fagaceae,Quercus,garryana,,,-6.455,-0.3725,,
SH1,Fagaceae,Quercus,chrysolepis,,,-6.455,-0.3725,,
SH1,Fagaceae,Quercus,douglasii,,,-6.455,-0.3725,,
SH1,Fagaceae,Quercus,wislizeni,,,-6.455,-0.3725,,
SH1,Lauraceae,Umbellularia,californica,,,-99.58,-0.007382,,
