equation_no,alpha,beta,beta_1,beta_2,beta_3
3,0.0822,2.64134,,,
4,0.00622,3.49873,,,
5,0.05251,2.40238,0.38285,,
6,0.02533,1.00656,,,
7,0.05252,2.40266,0.38253,,
8,0.00233,2.42585,0.30576,0.4989,
9,0.00004,0.99037,,,
10,0.10606,2.56803,,,
11,0.00027,4.45063,,,
12,33.24309,1.61825,,,
13,2.30247,1.07425,,,
14,0.05153,2.18627,0.54648,0.11719,
15,0.19568,0.68009,,,
16,0.00079,2.07194,0.69202,0.60292,0.18009
17,0.00156,0.69886,,,
18,15.35139,0.53941,,,
19,0.09881,2.61161,?0.01109,,
20,0.04872,2.18625,0.5465,0.03907,
21,0.95382,0.38323,,,
22,0.00072,2.07191,0.69205,0.60293,0.06004
23,0.06581,0.38942,,,
