"family","genus","species","b_0","b_1"
"Pinaceae","Pinus","banksiana",91.27,0.325
"Pinaceae","Pinus","resinosa",90.365,0.325
"Pinaceae","Pinus","strobus",88.582,0.325
"Pinaceae","Pinus","ponderosa",90.365,0.325
"Pinaceae","Picea","glauca",99.669,0.325
"Pinaceae","Picea","mariana",100.1,0.325
"Pinaceae","Abies","balsamea",97.52,0.325
"Pinaceae","Tsuga","canadensis",88.582,0.325
"Pinaceae","Larix","laricina",102.56,0.325
"Cupressaceae","Juniperus","virginiana",100.08,0.325
"Cupressaceae","Thuja","occidentalis",100.08,0.325
"Malvaceae","Tilia","americana",88.054,0.325
"Fagaceae","Fagus","grandifolia",94853,0.325
"Betulaceae","Betula","alleghaniensis",92.943,0.325
"Oleaceae","Fraxinus","nigra",91.834,0.325
"Oleaceae","Fraxinus","americana",91.834,0.325
"Oleaceae","Fraxinus","pennsylvanica",91.834,0.325
"Platanaceae","Platanus","occidentalis",89.579,0.325
"Salicaceae","Populus","deltoides",91.894,0.325
"Salicaceae","Salix","nigra",91.894,0.325
"Salicaceae","Populus","balsamifera",89.579,0.325
"Salicaceae","Populus","grandidentata",89.579,0.325
"Salicaceae","Populus","tremuloides",92.838,0.325
"Betulaceae","Betula","papyrifera",97.285,0.325
"Betulaceae","Betula","nigra",97.285,0.325
"Altingiaceae","Liquidambar","styraciflua",89.579,0.325
"Nyssaceae","Nyssa","biflora",89.579,0.325
"Rosaceae","Prunus","serotina",88.688,0.325
"Juglandaceae","Juglans","nigra",88.688,0.325
"Juglandaceae","Juglans","cinerea",88.688,0.325
"Magnoliaceae","Liriodendron","tulipifera",88.688,0.325
"Rosaceae","Crataegus",NA,89.579,0.325
"Pinaceae","Pinus","sylvestris",91.227,0.325
"Pinaceae","Pinus","nigra",91.227,0.325
"Pinaceae","Larix","decidua",91.227,0.325
"Pinaceae","Picea","abies",91.227,0.325
"Pinaceae","Pseudotsuga","menziesii",91.227,0.325
"Fagaceae","Quercus","alba",87.433,0.325
"Fagaceae","Quercus","bicolor",87.433,0.325
"Fagaceae","Quercus","macrocarpa",87.433,0.325
"Fagaceae","Quercus","muehlenbergii",87.433,0.325
"Fagaceae","Quercus","rubra",90.051,0.325
"Fagaceae","Quercus","velutina",89.543,0.325
"Fagaceae","Quercus","palustris",89.543,0.325
"Fagaceae","Quercus","ellipsoidalis",89.543,0.325
"Juglandaceae","Carya","cordiformis",85.094,0.597
"Juglandaceae","Carya","ovata",85.094,0.597
"Juglandaceae","Carya","glabra",85.094,0.597
"Sapindaceae","Acer","nigrum",93.164,0.325
"Sapindaceae","Acer","saccharum",93.164,0.325
"Sapindaceae","Acer","rubrum",94.853,0.325
"Sapindaceae","Acer","saccharinum",94.853,0.325
"Ulmaceae","Ulmus","americana",91.894,0.325
"Ulmaceae","Ulmus","rubra",91.894,0.325
"Ulmaceae","Ulmus","thomasii",91.894,0.325
"Cannabaceae","Celtis","occidentalis",91.894,0.325
"Sapindaceae","Acer","pensylvanicum",89.579,0.325
"Sapindaceae","Acer","spicatum",89.579,0.325
"Betulaceae","Carpinus","caroliniana",89.579,0.325
"Betulaceae","Ostrya","virginiana",89.579,0.325
"Accipitridae","Circus","canadensis",89.579,0.325
"Rosaceae","Prunus","pensylvanicum",89.579,0.325
"Rosaceae","Prunus","virginiana",89.579,0.325
"Rosaceae","Sorbus","americana",89.579,0.325
